Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
1.0,.8,.35,.7,.9,.45,6.431
1.0,.8,.35,.7,.9,.5,6.272
1.0,.8,.35,.65,.9,.5,6.151
1.0,.8,.3,.65,.9,.5,6.181
1.0,.8,.35,.65,.9,.5,6.159
1.0,.8,.35,.7,.9,.5,6.218
1.0,.8,.35,.7,.85,.5,6.149
1.0,.8,.35,.7,.9,.5,6.131
1.0,.8,.35,.75,.9,.5,6.192
1.0,.75,.35,.75,.9,.5,6.091
1.0,.75,.3,.75,.9,.5,6.126
1.0,.75,.3,.8,.9,.5,6.097
1.0,.75,.35,.8,.9,.5,6.105
1.0,.7,.35,.8,.9,.5,6.106
1.0,.7,.35,.8,.9,.55,6.065
1.0,.7,.35,.85,.9,.55,6.098
1.0,.7,.3,.85,.9,.55,6.0
1.0,.7,.3,.8,.9,.55,6.039
1.0,.7,.3,.8,.95,.55,6.069
1.0,.7,.3,.8,.95,.6,6.035
1.0,.7,.3,.8,.9,.6,6.052
1.0,.65,.3,.8,.9,.6,6.056
1.0,.65,.3,.8,.85,.6,5.986
1.0,.65,.25,.8,.85,.6,6.004
1.0,.65,.25,.75,.85,.6,6.027
1.0,.6,.25,.75,.85,.6,6.017
1.0,.6,.25,.75,.9,.6,5.978
1.0,.6,.25,.75,.9,.55,5.987
1.0,.6,.3,.75,.9,.55,6.008
1.0,.6,.3,.8,.9,.55,5.978
1.0,.6,.3,.8,.9,.5,5.984
1.0,.55,.3,.8,.9,.5,5.946
1.0,.5,.3,.8,.9,.5,5.952
1.0,.5,.3,.8,.9,.55,5.938
1.0,.5,.3,.8,.85,.55,5.94
1.0,.5,.3,.85,.85,.55,5.907
1.0,.5,.3,.9,.85,.55,5.907
1.0,.5,.3,.9,.85,.5,5.917
1.0,.5,.3,.85,.85,.5,5.941
1.0,.45,.3,.85,.85,.5,5.938
1.0,.45,.25,.85,.85,.5,5.91
1.0,.4,.25,.85,.85,.5,5.818
1.0,.4,.25,.85,.85,.55,5.862
1.0,.4,.25,.9,.85,.55,5.859
1.0,.35,.25,.9,.85,.55,5.868
1.0,.35,.2,.9,.85,.55,5.804
1.0,.3,.2,.9,.85,.55,5.811
1.0,.25,.2,.9,.85,.55,5.792
1.0,.25,.2,.9,.85,.5,5.801
1.0,.25,.2,.95,.85,.5,5.771
1.0,.2,.2,.95,.85,.5,5.779
1.0,.2,.25,.95,.85,.5,5.705
1.0,.2,.3,.95,.85,.5,5.734
1.0,.2,.3,1.0,.85,.5,5.716
1.0,.2,.3,1.0,.9,.5,5.719
1.0,.2,.3,.95,.9,.5,5.745
1.0,.15,.3,.95,.9,.5,5.742
1.0,.15,.3,.9,.9,.5,5.714
1.0,.1,.3,.9,.9,.5,5.7
1.0,.05,.3,.9,.9,.5,5.644
1.0,.05,.3,.95,.9,.5,5.62
1.0,.05,.3,1.0,.9,.5,5.618
1.0,.05,.35,1.0,.9,.5,5.619
1.0,.05,.4,1.0,.9,.5,5.617
1.0,.05,.4,1.0,.95,.5,5.636
1.0,.05,.4,1.05,.95,.5,5.625
1.0,.05,.4,1.05,.9,.5,5.508
1.0,.05,.4,1.05,.95,.5,5.649
1.0,.05,.4,1.05,1.0,.5,5.59
1.0,.05,.4,1.1,1.0,.5,5.548
