Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.45,.15,.5,.7,.75,.45,9.239
.5,.15,.5,.7,.75,.45,8.613
.55,.15,.5,.7,.75,.45,8.217
.6,.15,.5,.7,.75,.45,7.772
.6,.15,.5,.7,.75,.5,7.522
.65,.15,.5,.7,.75,.5,7.186
.7,.15,.5,.7,.75,.5,6.974
.75,.15,.5,.7,.75,.5,6.726
.8,.15,.5,.7,.75,.5,6.556
.85,.15,.5,.7,.75,.5,6.386
.9,.15,.5,.7,.75,.5,6.226
.95,.15,.5,.7,.75,.5,5.993
1.0,.15,.5,.7,.75,.5,5.803
1.0,.15,.5,.7,.8,.5,5.771
1.0,.1,.5,.7,.8,.5,5.713
1.0,.05,.5,.7,.8,.5,5.634
1.0,.0,.5,.7,.8,.5,5.263
1.0,.0,.5,.7,.75,.5,5.249
1.0,.0,.5,.7,.75,.45,5.128
1.0,.0,.5,.7,.75,.4,5.181
1.0,.0,.5,.7,.75,.35,5.136
1.0,.0,.5,.7,.75,.3,5.103
1.0,.0,.5,.65,.75,.3,5.106
1.0,.0,.5,.65,.8,.3,5.104
1.0,.0,.5,.65,.8,.25,5.127
1.0,.0,.5,.65,.85,.25,5.093
1.0,.0,.5,.65,.9,.25,5.109
1.0,.0,.5,.6,.9,.25,5.114
1.0,.0,.55,.6,.9,.25,5.101
1.0,.0,.55,.55,.9,.25,5.081
1.0,.0,.55,.55,.9,.3,5.073
1.0,.0,.6,.55,.9,.3,5.079
1.0,.0,.65,.55,.9,.3,5.064
1.0,.0,.65,.55,.95,.3,5.071
1.0,.0,.65,.55,1.0,.3,4.997
1.0,.0,.65,.6,1.0,.3,5.055
1.0,.0,.65,.6,1.0,.25,5.036
1.0,.0,.65,.6,1.0,.2,5.003
1.0,.0,.65,.6,1.05,.2,5.008
1.0,.0,.65,.6,1.1,.2,5.038
1.0,.0,.65,.55,1.1,.2,5.019
1.0,.0,.65,.5,1.1,.2,5.013
1.0,.0,.65,.5,1.1,.15,5.035
1.0,.0,.65,.45,1.1,.15,5.037
1.0,.0,.65,.4,1.1,.15,5.027
1.0,.0,.7,.4,1.1,.15,4.992
1.0,.0,.7,.4,1.1,.1,4.99
1.0,.0,.7,.4,1.05,.1,4.997
1.0,.0,.75,.4,1.05,.1,4.995
1.0,.0,.75,.45,1.05,.1,4.96
1.0,.0,.75,.45,1.1,.1,4.984
1.0,.0,.8,.45,1.1,.1,4.976
1.0,.0,.85,.45,1.1,.1,4.989
1.0,.0,.85,.45,1.15,.1,4.931
1.0,.0,.85,.45,1.2,.1,4.958
1.0,.0,.85,.45,1.25,.1,4.974
1.0,.0,.85,.4,1.25,.1,4.976
1.0,.0,.85,.35,1.25,.1,4.976
1.0,.0,.85,.35,1.25,.05,4.995
1.0,.0,.85,.35,1.3,.05,4.95
1.0,.0,.85,.4,1.3,.05,4.984
1.0,.0,.85,.4,1.3,.1,4.957
1.0,.0,.85,.45,1.3,.1,4.954
1.0,.0,.9,.45,1.3,.1,4.968
